nom_,activites_,breve_description_,objets_ou_materiaux_concernes_,lactivite_de_la_structure_est-elle_en_sommeil_ou_a_letat_de_projet__,statut_juridique_,nombre_de_personnes_physiques_adherentes_ou_membres_du_projet,nombre_de_personnes_morales_adherentes_de_la_structure_,nombre_de_salaries,secteur_geographique_dintervention,description_complete,site_internet,numero_de_telephone,e-mail_en_fait_ils_ne_sont_pas_affiches_sur_le_site_pour_eviter_les_spams,nom_du_premier_local,adresse_du_premier_local,code_postal_du_premier_local,ville_du_premier_local,nom_du_deuxieme_local,adresse_du_deuxieme_local,code_postal_du_deuxieme_local,ville_du_deuxieme_local,logo,page_facebook,page_facebook_,nom_du_premier_contact,fonction_du_premier_contact,moyen_de_joindre_le_premier_contact,nom_du_deuxieme_contact,fonction_du_deuxieme_contact,moyen_de_joindre_le_deuxieme_contact,la_structure_est_une_antenne_locale_dune_structure_nationale_dont_le_siege_nest_pas_en_pays_de_la_loire,lien_vers_fiche_de_presentation_de_la_structure_chez_ecopole,lien_vers_fiche_de_presentation_du_deuxieme_local_chez_cartoquartiers,lien_vers_fiche_de_presentation_structure_dans_annuaire_ville_de_nantes,lien_vers_fiche_de_presentation_du_premier_local_chez_cartoquartiers,categorie_principale,lien_vers_noeud_openstreetmap_du_deuxieme_local,lien_vers_noeud_openstreetmap_du_premier_local,video_de_presentation,images,username,fee_id,expires_on
"Le Petit Lieu","Récupération articles puériculture, jouets, livres ou vêtements enfants;Vente articles puériculture, jouets, livres ou vêtements enfants","Née en février 2020 à Nantes, l'association LE PETIT LIEU est une recyclerie spécialisée petite enfance. Elle collecte et valorise vêtements (enfants 0-5 ans & femmes enceintes), matériel de puériculture, jouets/jeux, livres...puis les revend à bas prix ou les redistribue gratuitement à des associations aidant les familles en difficultés.","articles puériculture (poussettes, vêtements...);jouet;livres;tissus et vêtements","La structure est active.","Association","1-10","3-5","0","Nantes Métropole","LE PETIT LIEU est un projet de Tiers-Lieu solidaire pour une parentalité sereine & écologique accessible à toutes les familles sur la métropole nantaise. Ses Missions :\n> Développer l’économie circulaire en proposant du matériel de seconde main à bas prix et de qualité pour les enfants de 0 à 3 ans & les femmes enceintes via une recyclerie spécialisée (activité en cours).\n> Mener des actions d’accompagnement à la parentalité et de sensibilisation aux pratiques éco-responsables pour les parents et les enfants de 0 à 12 ans via un Café Ressources, Lieu d’Accueil Enfants Parents (LAEP) & des Ateliers parents/enfants dans un Espace de Vie Sociale (EVS) (activités en projet).","","","bonjour@lepetitlieu.org","","","","","","","","","1860,,LePetitLieu_LogoVert_RVB.jpg","https://www.facebook.com/associationlepetitlieu","https://www.facebook.com/associationlepetitlieu,","Eugénie BRIERE","Présidente","eugenie@lepetitlieu.org","Carine SAVARY","Secrétaire","carine@lepetitlieu.org","Non","","","https://metropole.nantes.fr/infonantes/association/27076-le-petit-lieu,","","","","","","LePetitLieu_LogoVert_RVB-150x107-1.jpg","LePetitLieu","2",""
"Surfrider Foundation Loire-Atlantique","Accompagnement d'écoles dans une démarche zéro déchet;Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Blog (ou chaîne utube) sur le zéro déchet;Groupe de pression (manifestes, pétitions, alertes...);Information sur la réduction des déchets à la source (hors stand);Organise des collectes citoyenne de déchets;Sensibilisation ou ateliers avec des scolaires","Surfrider Foundation Europe est une association à but non lucratif, chargée de la protection et de la mise en valeur des lacs, des rivières, de l’océan, des vagues et du littoral. Elle regroupe à ce jour plus de 13 000 adhérents et intervient sur 11 pays via ses antennes bénévoles.","__toutes les matières habituelles d'un particulier;_toutes les matières d'une entreprise non spécialisée;vaisselle jetable","La structure est active.","Association","plus de 100","1-2","plus","L'Europe et en ce qui concerne notre antenne, la Loire-Atlantique","Surfrider Foundation Europe intervient sur 3 domaines spécifiques sur lesquels l’organisation a acquis une expertise reconnue depuis presque 30 ans : les déchets aquatiques, la qualité de l’eau et la santé des usages, l’aménagement du littoral et le changement climatique.","https://surfrider.eu/,","","antenne44@surfrider.eu","Local Surfrider Foundation Loire-Atlantique","84 quai de la Fosse","44100","Nantes","","","","","1851,,SFE_loire-atlantique_RGB_blue-1.jpg","https://www.facebook.com/SurfirderLA/","https://www.facebook.com/SurfirderLA/,","Tancrède","Responsable de l'antenne de Loire-Atlantique","antenne44@surfrider.eu","Annaick","Responsable de la sensibilisation dans les établissement scolaires","antenne44.educ@surfrider.eu","Oui","","","https://metropole.nantes.fr/infonantes/association/22878-surfrider-foundation-europe,","","","","","https://www.youtube.com/watch?v=AVDruusefEo,","SURFRIDER-LOIRE-ATLANTIQUE_3.jpg;SURFRIDER-LOIRE-ATLANTIQUE_2.jpg;SURFRIDER-LOIRE-ATLANTIQUE_1.jpg;SURFRIDER-LOIRE-ATLANTIQUE_5.jpg","SurfRider","2",""
"Esprit Planète","Fabrication de produits zéro déchet","Nous vendons, louons et lavons des gobelets personnalisés. ","vaisselle jetable","La structure est active.","Entreprise privée ","1-10","1-2","5-10","Toute la France, Lavage sur Rennes et Nantes","Notre entreprise est spécialisée dans le gobelet réutilisable et personnalisé. Nous pouvons en fabriquer mais aussi en louer et laver des gobelets. Appelez nous ! Nous avons deux stations de lavage, une à Rennes et une à Saint Herblain","https://espritplanete.com/,Gobelets personnalisés réutilisables","0290097273","contact@espritplanete.com","EsatCo","12 rue Bobby Sands C.P. 3213","44800","Saint Herblain","Esprit Planète","4 rue de la roberdière","35000","Rennes","1835,,DEF_Logo_EP_2019_Def_Couleur_SansTexte-5.png","https://www.facebook.com/GobeletsEspritPlanete/","https://www.facebook.com/GobeletsEspritPlanete/,","Alice","Commercial","0290097273","","","","","","","","","","","","","DEF_Logo_EP_2019_Def_Couleur_SansTexte-5-150x150-1.png","EspritPlanete","2",""
"Plastic Attack Nantes","Créations artisanales autour de matériaux réemployés (upcycling);Groupe de pression (manifestes, pétitions, alertes...);Promotion des contenants réutilisables auprès des commerçants","Collectif lié au Collectif Citoyens Pour Le Climat. Conduites d'actions citoyennes en faveur de la suppression des emballages inutiles dans les supermarchés.","","La structure est active.","Collectif de citoyen","1-10","0","0","Loire-Atlantique","Le collectif est composé de citoyen·nes qui souhaitent s'impliquer dans une démarche de sensibilisation auprès des consommateur·ices de grandes surfaces, ainsi que ces dernières,  à l'utilisation excessive du plastique et autres déchets recyclables mais qui restent jetables . Chaque action se déroule à la sortie des caisses d'un supermarché, pour inciter les client·es à laisser dans un caddie les emballages plastiques voire carton de leurs achats, emballages qu'ils jugent inutiles.\nCes déchets sont, selon les personnes participant à l'action, revalorisés en oeuvre d'art, sinon récupérés par le magasin pour être jetés.\nLe but de ces actions est ensuite de faire pression sur les supermarchés pour qu'ils stoppent l'utilisation des suremballages inutiles. Une pétition leur est envoyée avec attente de retour sur une action de leur part concernant les produits nommés.","https://www.facebook.com/plasticattacknantes/,Page Facebook","","CPLCNantes@protonmail.com","","","","Nantes","","","","","1798,,plastic-attack-nantes.jpg","","","Marjorie","Responsable communication","CPLCNantes@protonmail.com","","","","Oui","","","","","","","","","plastic4.jpg;plastic.jpg;plastic2.jpg;plastic3.jpg;plastic5.jpg","PlasticAttackNantes","2",""
"COMPOSTRI","Atelier sur compostage ou lombricompostage;Formations (zéro déchet ou économie circulaire, transition énergétique...);Information sur la réduction des déchets à la source (hors stand);Sensibilisation ou ateliers avec des scolaires;Solutions de récupération des matières organiques (compostage...);Stand sensibilisation réduction ""déchets""","Promotion du compostage en particulier le compostage partagé","déchets organiques riches (restes alimentaires...);déchets verts (pelouse;déchets verts (pelouse, taille de haie...)","La structure est active.","Association","21-50","plus de 50","5-10","Nantes Métropole principalement, interventions sur des territoires limitrophes","L'association créée en 2007, accompagne les projets citoyens de mise en place de site de compostage partagé, qu'ils soient en copropriété ou de quartier.  Nous assurons la gestion de projet, les démarches administratives, la formation des habitants et le suivi des sites une fois l'installation faite. \nLa sensibilisation du public, lors d'événements par exemple, l'animation de séances pédagogiques avec les scolaires et les formations adultes dispensées par l'association, favorisent le déploiement de la connaissance du compostage.\nEnfin, à la demande des collectivités, nous organisons des opérations de broyage sur des plateformes temporaires pour favoriser le retour au jardin des déchets verts.\nNos actions et missions font aussi l'objet d'un étroit partenariat avec le service coopération de Nantes Métropole avec en particulier Kindia en Guinée et Dschang au Cameroun.","http://www.compostri.fr,","09 82 45 22 21","contact@compostri.fr","Compostri","Le Solilab\n8 rue de Saint Domingue\n","44200","Nantes","Parc de la Crapaudine","rue des Gobelets","44200","Nantes","1783,,LOGO-COMPOSTRI-base-line-RVB.jpg","https://www.facebook.com/compostri.fr/","https://www.facebook.com/compostri.fr/,","Julie Corchero","Animatrice de la vie associative et de la communication","09 82 46 22 21 et julie.corchero@compostri.fr","Pauthier Béatrice","Directrice","beatrice.pauthier@compostri.fr","Non","http://www.ecopole.com/adherents/compostri/,","","https://metropole.nantes.fr/infonantes/association/10407-association-compostri,","","","","","https://youtu.be/XhrMen4Ypu0,Reportage sur des sites  de compostage","Waldeck-2-Copie-scaled.jpg;zen-bio-2019-scaled.jpg;compostour-2018-2-scaled.jpg;IMG_20181013_130747-scaled.jpg","Compostri","2",""
"La Cabane D'Elo","Accompagnement d'écoles dans une démarche zéro déchet;Box cadeau zéro déchet;Créations artisanales autour de matériaux réemployés (upcycling);Formations (zéro déchet ou économie circulaire, transition énergétique...);Organise ou tient des conférences;Sensibilisation ou ateliers avec des scolaires;Vente de produits zéro déchet","Animation d'ateliers à partir de récup', pour les particuliers et les scolaires","__toutes les matières habituelles d'un particulier;anciens bijoux;bouchons en liège;bouchons en plastique;papier et cartonnette","La structure est active.","Entreprise privée ","1-10","1-2","0","Loire Atlantique","Animation sur la gestion et la prévention des déchets dans les écoles\nAnimation/formation meubles en carton auprès des particuliers et des groupes\nAnimation d'ateliers créatifs à partir de récup', surtout en lien avec l'énergétique\nAnimation d'une conférence ""le réemploi et l'énergétique, comment rebooster vos trouvailles?""\nSoins énergétiques pour les particuliers","http://www.lacabanedelo.com,","0610122821","contact@lacabanedelo.com","","3 chemin des trois poulains","44330","LE PALLET","","","","","1760,,logo-la-cabane-d-elo.jpg","https://www.facebook.com/La-Cabane-dElo-189317481093473/","https://www.facebook.com/La-Cabane-dElo-189317481093473/,","Elodie Ballé","Gérante","0610122821","","","","Non","http://www.ecopole.com/adherents/cabane-delo-la/,","","","","","","","","tabouret-meditationz.jpg;capteur-de-reves-n8v.jpg","LaCabaneDElo","2",""
"Les petites choses de Julia","Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....);Fabrication de produits zéro déchet;Vente de produits zéro déchet","Créations colorées de produits zéro déchet utile pour toute la famille et dans toute la maison.\nTissus certifiés bio et/ou oeko tex standard 100","__toutes les matières habituelles d'un particulier","La structure est active.","Entreprise privée ","1-10","0","0","toute la France grâce au site internet","Entreprise de créations zéro déchet et de vêtements évolutifs pour enfants de 0 à 12 ans.","https://lespetiteschosesdejulia.fr/,www.lespetiteschosesdejulia.fr","06.66.64.70.31","lpcdjulia@gmail.com","Les petites choses de Julia","2 place du Pé de Buzay ","44640","Le Pellerin","","","","","1752,,Logo-Les-petites-choses-de-Julia.png","Les petites choses de Julia","https://www.facebook.com/lespetiteschosesdejulia/,","RIPOTON Julia","créatrice","06.66.64.70.31 lpcdjulia@gmail.com ou julia.ripoton@gmail.com","","","","Non","","","","","","","","","DSC_0954.jpg;DSC_1237.jpg;DSC_1016.jpg;DSC_1232.jpg;Cadeau-20euros.jpg","LesPetitesChosesDeJulia","2",""
"L'Atelier des Langes","Conseils ou gestions des couches lavables","Solutions de location simple et location avec collecte et entretien de couches lavables pour familles, professionnels de la petite enfance et professionnels de santé. Informations, conseils et accompagnement à l'utilisation des couches lavables.","couches lavables","La structure est active.","Association","21-50","1-2","0","Aire urbaine de Nantes","Le but de l'association est de favoriser l'utilisation des couches lavables dans un but écologique et sanitaire. De sa naissance à sa propreté, un enfant va utiliser en moyenne entre 4000 et 5000 couches. En jetable, cela requiert 67kg de pétrole, 4 arbres et 26m³ d'eau, et cela représente près d'une tonne de déchets, en 3 ans. Les déchets sont enfouis ou incinérés. L'impact écologique est énorme. \nSur le plan sanitaire, de nombreux produits toxiques sont présents dans les couches, ce qui favorise des dérèglements hormonaux, des allergies, des érythèmes, et bien plus encore. \nAussi, la couche lavable est une solution saine et bien plus écologique. Néanmoins, on lui affecte souvent une image négative, les informations sont peu actualisées, trop nombreuses, trop variées, et peu de solutions d'accompagnement.\nAussi, nous avons décidé de :\n- donner une information claire et concise, \n- développer une solution de location simple, pour éviter l'investissement, changer de taille facilement, bénéficier d'un accompagnement personnalisé\n- développer une solution de location avec collecte et entretien, pour utiliser les couches lavables aussi simplement que des couches jetables : zéro contrainte, zéro prise de tête.\n\nNos solutions s'adressent aussi bien aux familles qu'aux professionnels de santé et de la petite enfance. La location simple est disponible partout en France, la location avec collecte et entretien est pour le moment disponible sur Nantes. \n\nLa collecte est effectuée à vélo sur Nantes afin de limiter l'impact écologique. \nL'entretien des couches est réalisé en partenariat avec une association d'insertion, suivant un protocole écologique et hypoallergénique afin de garantir l'hygiène des couches.\n\nNous n'avons pas encore de local, mais vous pouvez nous retrouver lors de nos ateliers mensuels, ou par téléphone ou mail.","http://www.latelierdeslanges.fr,","0651408062","latelierdeslanges@gmail.com","","","","","","","","","1714,,logo-bleu-atelierdeslanges-base-line.jpeg","https://www.facebook.com/latelierdeslanges","https://www.facebook.com/latelierdeslanges,","Laëtitia Geneste","Coordinatrice","0651408062","Fleur Ludeau","Coordinatrice","0684633804","Non","http://www.ecopole.com/adherents/latelier-des-langes/,","","https://metropole.nantes.fr/infonantes/association/26249-latelier-des-langes#presentation,","","","","","","logo-bleu-atelierdeslanges-base-line-1.jpeg;M-L.jpg;bébé-en-hamac.jpg;IMG_20190904_164020-scaled.jpg;Coloris-Gamme-pour-les-Professionnels.jpg","LAtelierDesLanges","2",""
"Manou pelote &amp; tissu","Ateliers produits zéro ""déchet"";Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....);Vente de produits zéro déchet","Créatrice d'articles zéro dechets, en tissu bio, ","couches lavables;tissus et vêtements","La structure est active.","Entreprise privée ","1-10","1-2","1-2","Corcoue sur logne","Moi c'est Marina, maman de trois petits monstres et entrepreneuse, passionnée de Basketball depuis toute petite et amoureuse de relations humaines. Dans une autre vie, j’étais assistante maternelle. J'ai toujours aimé les activités manuelles, toute petite déjà je tricotais avec maman, c'est elle qui m’a donné ce goût de créer de mes mains ; un don précieux pour moi.","https://www.facebook.com/pg/tricotfaitmains/,","0608998531","manoupelotetissu@yahoo.com","manou pelote & tissu","","","","","","","","","","","Marina Huchet","chef d 'entreprise","0608998531","","","","","","","","","","","","","d274bb969c59c97cab0c80c60acbc52f.0-rotated.jpg;IMG_0945-scaled.jpg;IMG_0919-scaled.jpg;IMG_7770-Copier.jpg;IMG_0261-Copier.jpg","ManouPeloteEtTissu","2",""
"Mon Repair'Shop","Réparation et revente","Mon Repair'Shop est une conciergerie de la réparation d'équipements électriques et électroniques. Nous vendons également des appareils ainsi que des pièces détachées d'occasion.","appareils électriques ou électroniques","La structure est active.","Association","1-10","0","2-5","Vignoble clissonnais et sud Nantes","Mon Repair'Shop est une conciergerie de la réparation d'équipements électriques et électroniques. Nous vendons également des appareils ainsi que des pièces détachées d'occasion.","https://www.monrepairshop.fr/,","","contact@monrepairshop.fr","Mon Repair'Shop","Rue de la clairière","44190","Saint Hilaire de Clisson","","","","","1677,,LOGO-BLEU-ORANGE-2.png","https://www.facebook.com/MonRepair/?ref=bookmarks","https://www.facebook.com/MonRepair,","Centis Gwendoline","Chargée de projet","gwendoline.centis@monrepairshop.fr","Eric Rayer","Porteur de projet","eric@monrepairshop.fr","Non","","","","","","","","","monrepairshop-150x88-1.png","MonRepairShop","2",""
"Réseau éco-événement (REEVE)","Accompagnement d'écoles dans une démarche zéro déchet;Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Formations (zéro déchet ou économie circulaire, transition énergétique...);Information sur la réduction des déchets à la source (hors stand);Sensibilisation au gaspillage alimentaire;Tri des déchets sur événements","Le Réseau éco-événement (REEVE) est une association basée à Nantes et dont les actions s’étendent sur la région des Pays de la Loire. Son objectif est d’accompagner les acteurs de la filière événementiel dans la mise en place de démarches éco-responsables (formations, groupes de travail, label événement éco-engagé, outils partagés…).","__toutes les matières habituelles d'un particulier;_toutes les matières d'une entreprise non spécialisée;vaisselle jetable","La structure est active.","Association","plus de 100","plus de 50","0","Pays de la Loire, France entière","Face à un dérèglement climatique en accélération, les événements et leurs parties prenantes représentent de véritables terrains d’action essentiels pour mettre en oeuvre la transition écologique. En questionnant les pratiques de la filière événementiel et en contribuant à construire un nouveau récit pour le grand public et les professionnels, les événements accompagnés par le REEVE peuvent agir sur 8 enjeux environnementaux définis dans le référentiel de l’association. De l’alimentation durable, à l’intégration de tous les publics en passant par le zéro déchet, le REEVE propose des dispositifs d’accompagnement collectifs : des formations, des outils partagés, des groupes de travail, un label événement éco-engagés, une opération collective « Fêtes d’écoles zéro déchet » ….","https://www.reseau-eco-evenement.net/,","","bonjour@reseau-eco-evenement.net","Kéran","4 rue René Viviani","44200","Nantes","","","","","1663,REEVE,logo-devis.png","https://www.facebook.com/reseauecoevenements/","https://www.facebook.com/reseauecoevenements/,","Dominique Béhar","Coordinateur","bonjour@reseau-eco-evenement.net","","","","Non","http://www.ecopole.com/adherents/reseau-eco-evenement/,","","","","","","","","logo-reeve-150x50-1.png","ReeveCoordinateur","2",""
"La Vie Claire Nantes","Vente de produits zéro déchet","Épicerie/Magasin bio à Nantes. Vente de produits en vrac : épicerie, fruits et légumes, droguerie écologique...","bocaux","La structure est active.","Entreprise privée ","","0","5-10","","La Vie claire est une entreprise française de distribution spécialisée dans la vente de produits biologiques. ","","0251845761","lavieclairenantes@gmail.com","","","","","","","","","","https://www.facebook.com/LaVieClaireNantes/","https://www.facebook.com/LaVieClaireNantes/,","Anne de Montgolfier","Gérante","0251845761","","","","","","","","","","","","","20180908_133957-1-scaled.jpg","LaVieClaireNantes","2",""
"Ateliers du Bocage","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Collecte des meubles des professionnels;Collecte des ordinateurs chez les professionnels;Collecte globale (5 flux) des ""déchets"" en entreprise;Information sur le recyclage (hors stand);Recyclage des ordinateurs / téléphones portables;Stand sensibilisation réduction ""déchets"";Vente de produits d'occasion","Les Ateliers du Bocage est une entreprise d’insertion et entreprise adaptée, membre du mouvement Emmaüs. Son expertise est reconnue sur plusieurs activités, notamment de tri et réemploi de téléphones, livres, matériel informatique et cartouches d'encre et de mise à disposition de logiciels à tarifs solidaires pour les associations.","bois (hors meubles);livres;mégot;meuble;ordinateurs","La structure est active.","SCOP","plus de 100","plus de 50","plus","France entière","Les Ateliers du Bocage sont une Société coopérative d’intérêt collectif (Scic), entreprise d’insertion et entreprise adaptée, membre du mouvement Emmaüs.\nNotre expertise en matière de tri et de réemploi est reconnue depuis plus de 25 ans par de nombreux partenaires et garantie par une certification ISO 14 001. Nous rassemblons 154 salariés, dont 47 salariés accueillis en parcours d’insertion et 10 en entreprise adaptée, sur 3 grands pôles d’activités :\n• Des activités environnementales : réemploi de téléphones portables, de matériel informatique, de consommables d’impression et de surplus de livres issus de communautés Emmaüs.\n• Des activités numériques solidaires : vente d’équipements reconditionnés et logiciels au profit d’associations et de particuliers, offres de formations et incubation de projets.\n• Des activités locales : entretien d’espaces verts et naturels, fabrication et réemploi d’emballages en bois.\nLes Ateliers du Bocage portent des valeurs éthiques fortes : l’ouverture et l’accueil, la solidarité et le juste partage de toutes les richesses, le développement d’un projet social grâce à des leviers économiques, un engagement fort pour l’environnement.\nhttps://ateliers-du-bocage.fr – Suivez nous sur Facebook et Linkedin","https://ateliers-du-bocage.fr,Les Ateliers du Bocage et sa Bootique","0549810972","contact@adb-emmaus.com","Les Ateliers du Bocage - Solidatech","La Cantine numérique - 11 rue de la Noue bras de fer","44000","Nantes","Les Ateliers du Bocage, siège social","La Boujalière","79140","Le Pin","","https://www.facebook.com","https://www.facebook.com/les.ateliers.du.bocage/,","Tiphaine GREMMEL","Responsable communication","tgremmel@adb-emmaus.com","Accueil","Accueil","05 49 81 09 72","Oui","","","","","","","","https://www.youtube.com/watch?v=s5LIdL5i9UI&list=PLhjs3oF0ODeMkc3Myt132zAecZdoso2Xe&index=15,Le Monde présente en vidéo un service des Ateliers du Bocage, le réemploi de smartphones","ADB-logo-bandeau-CMJN-print-1-scaled.jpg;DSC7725-1.jpg;DSC7583-1.jpg;DSC7517-1.jpg;DSC_0717-1-scaled.jpg;DSC7583.jpg;DSC7725.jpg;DSC7517.jpg;DSC_0717-scaled.jpg;ADB-logo-bandeau-CMJN-print-scaled.jpg","AteliersDuBocage","2",""
"L'AMUSE-BOUCHE","Restauration zéro déchet","Traiteur événementiel en livraison, spécialisé en cocktails . Installation en jolie vaisselle lavable. Zéro plastique","vaisselle jetable","La structure est active.","Entreprise privée ","1-10","1-2","0","Loire-Atlantique","Traiteur événementiel en livraison, spécialisé dans les cocktails apéritifs, déjeunatoires et dînatoires pour professionnels et particuliers. Cuisine 100% maison, à base de produits de saison et privilégiant les producteurs locaux. Tendance zéro déchet de par la possibilité de dresser les buffets sur de la jolie vaisselle lavable. Zéro plastique dans mes cocktails.","https://www.amusebouche-nantes.fr/traiteur-saint-sebastien-sur-loire,L'Amuse-Bouche","0650924159","contact@amusebouche-nantes.fr","","","44230","44230","Saint-Sébastien-sur-Loire","","44230","Saint-Sébastien-sur-Loire","1634,,LOGO-1.jpg","https://www.facebook.com/lamusebouchenantes","https://www.facebook.com/lamusebouchenantes,","Séverine RENOU","cheffe et gérante","0650924159","","","","Non","","","","","","","","","navettes.jpg;kinnarps.jpg;dessert-2.jpg","LAmuseBouche","2",""
"Epilogue","Atelier de couture de tissus récupérés;Vente de produits zéro déchet","Confection artisanale d'articles Zéro Déchet à partir de tissus recyclés : Serviettes hygiéniques, Protège-slip, Coussinets d'allaitement, Cotons démaquillants, Sac à vrac, Sacs à pain, Essuie-tout, Tawashi, Mouchoirs, Serviettes de table, ...","tissus et vêtements","La structure est active.","Entreprise privée ","1-10","0","0","Vannes","Auto-entreprise","https://epilogue-couture.jimdofree.com/,","","epilogue.couture@gmail.com","","2 ruelle de la porte Notre Dame","56000","Vannes","","","","","1627,,logo-épilogue-1.jpg","","","Noémie Poudret","Couturière","email","","","","Non","","","","","","","","","shl.png;sac-à-vrac.png;essuie-tout.png;cotons.png;coussinets-dallaitement.png","Epilogue","2",""
"MéGO! par Encova","Récupération de mégots;Tri des déchets sur événements","MéGO! est un service de tri et de recyclage matière de mégots de cigarettes (filtres usagés), solution unique en France.\nL’objectif de ce service national est donc de récupérer les mégots de cigarettes au sein de vos locaux afin de les recycler.","mégot","La structure est active.","Entreprise privée ","1-10","3-5","5-10","France / Luxembourg / Belgique","Collecte et revalorisation des mégots.\nConception de mobilier à base de mégots","https://encova.fr/,","06 11 74 57 12","a.rossignol@encova.fr","","15 rue de la Montaubonnière ","44470","CARQUEFOU","","","","","1621,,LOGO.jpg","","","ROSSIGNOL ARNAUD","Directeur","06 11 74 57 12","","","","Oui","","","","","","","","https://www.youtube.com/watch?v=XOrFtsrgbx8,","LOGO-500x266-1.jpg","EncovaRecyclage","2",""
"Environnements Solidaires","Collecte des encombrants ou gestion déménagements;Information sur la réduction des déchets à la source (hors stand);Information sur le recyclage (hors stand);Organise des espaces de gratuité (inclus boîtes à don et boîtes à livres);Récupération articles puériculture, jouets, livres ou vêtements enfants;Récupération des livres en bon état;Sensibilisation au gaspillage alimentaire;Solutions de récupération des matières organiques (compostage...);Stand sensibilisation réduction ""déchets"";Tri des déchets sur événements","Amélioration du cadre de vie des habitants du Grand Bellevue  en répondant de manière participative à la problématique des dépôts d’encombrants dans le parc de logements sociaux en favorisant le réemploi sur le quartier, le lien social et l’insertion socioprofessionnelle des habitants.","__toutes les matières habituelles d'un particulier;articles puériculture (poussettes, vêtements...);déchets organiques riches (restes alimentaires...);déchets verts (pelouse;déchets verts (pelouse, taille de haie...);encombrant;jouet;livres;meuble","La structure est active.","Association","21-50","6-10","5-10","Grand Bellevue","Environnements Solidaires mène depuis 7 ans, en partenariat avec les bailleurs sociaux,  un projet d’amélioration du cadre de vie des habitants du Grand Bellevue et de création d’une nouvelle dynamique sociale en répondant à la problématique récurrente des encombrants dans l’habitat collectif. Le projet vise la participation directe des habitants à cette démarche de développement durable et favorise l’insertion socioprofessionnelle de certains d’entre eux. En effet, ce sont des habitants du quartier, éloignés de l’emploi, qui sont recrutés en contrats aidés afin de sensibiliser et de mobiliser leurs voisins.","https://www.environnements-solidaires.org/,","0667752969","anne.durand@environnements-solidaires.org","Bureau Environnements solidaires","1 rue de Cahors","44800","Saint Herblain","Petite ferme urbaine","1 rue de l'Orne","44800","Saint Herblain","1614,,LOGO-ES-1.png","https://www.facebook.com/assoenvironnementssolidaires/","https://www.facebook.com/assoenvironnementssolidaires/,","Anne DURAND","Directrice","anne.durand@environnements-solidaires","Xavier HEDAN","Encadrant technique et pédagogique","0671584748","Non","","","","","","","","","LOGO-ES-1-500x500-1.png","EnvironnementsSolidaires","2",""
"Primesautier","Restauration zéro déchet","Traiteur végétal, je vous propose une cuisine locale et de saison à partir de produits exclusivement biologiques.","bocaux;bouteilles de verre;déchets organiques riches (restes alimentaires...)","La structure est active.","Entreprise privée ","1-10","0","0","Nantes et plus largement Pays de La Loire et Morbihan","Primesautier c'est une cuisine 100% végétale créative et gourmande pour tous vos événements, personnels ou professionnels à Nantes et ses environs.\nMon offre est basée sur des produits exclusivement biologiques, locaux au maximum et adaptés au rythme des saisons. Ma démarche se veut raisonnée et orientée vers le zéro déchet.  \nJe n'utilise aucun contenant jetable mais de la jolie céramique réalisée par des artisans ; je travaille au maximum les produits et composte mes matières organiques ; j'ai une consommation raisonnée de l'eau et de l'énergie ; je suis adhérente Enercoop et je privilégie les boissons en bouteilles consignées. \nJe serais ravie de vous faire découvrir ma cuisine et de vous montrer que traiteur peut très bien rimer avec consommation raisonnée ! ","https://www.primesautier.com,","","annelaure@primesautier.com","","","44240","La Chapelle sur Erdre","","","","","1600,,TRAITEUR-NANTES-44-PRIMESAUTIER.jpg","https://www.facebook.com/primesautier.cuisinevegetale/","https://www.facebook.com/primesautier.cuisinevegetale/,","Anne-Laure","Dirigeante et cheffe","annelaure@primesautier.com","","","","Non","","","","","","","","","Mariage_eco-responsable_Loire-Atlantique_AnneLetournel-56.jpg;traiteur-i-advize-8-scaled.jpg;PRIMESAUTIER-TRAITEUR-VEGETAL_PHOTO-.jpg-scaled.jpg;primesautier-traiteur-zero-dechet1.jpg;PRIMESAUTIER-TRAITEUR-VEGETAL_PHOTO-STEPHANE-LELUDEC.jpg","Primesautier","2",""
"Le P'tit Poids","Atelier de couture de tissus récupérés;Ateliers produits zéro ""déchet"";Vente de produits en vrac;Vente de produits zéro déchet","Epicerie vrac, locale et bio. Organisation d'ateliers zéro déchet, couture, nathuro.","bocaux","La structure est active.","Entreprise privée ","1-10","0","0","Couëron","","","0983028722","contact@epicerie-leptitpoids.fr","Anaïs Pichon","8 rue Alcide Charles d'Orbigny","44220","Couëron","","","","","1597,,Le-p-tit-poids-Ardoise-contour-blanc-RVB.png","https://www.facebook.com/epicerie.leptitpoids/","https://www.facebook.com/epicerie.leptitpoids/,","Anaïs Pichon","Gérante","contact@epicerie-leptitpoids.fr","","","","Non","","","","","","https://www.openstreetmap.org/search?query=Le%20P'tit%20Poids#map=19/47.21025/-1.72822,","","","28577891_1559866667464652_758236173661410701_n.jpg;cycle-anne-et-ben-ulule.jpg;27629231_411881422582556_6826604695873054045_o.jpg","LePetitPoids","2",""
